Betrayal,Season,Episode,Perpetrator,Perp Role,Perp House,Perp Gender,Victim,Relationship Perp-Victim,Victim Role,Victim House,Victim Gender,Perp Gain/Reasoning,Immediate Consequence,#Deaths,Geography,Impact ,Notes
Cersei asks Jamie to kill Tyrion,4,4,Cersei,Queen (formerly),Lannister,F,Tyrion,Sister,"Master of Coin, Hand of the King",Lannister,F & M,Revenge,Jamie doesn't do it/ convinced Tyrion is innocent,0,"Kings Landing, 7 Kingdoms",1,
Shae's vengeful testemony,4,6,Shae,Prostitute,-,F,Tyrion,Lover,"Master of Coin, Hand of the King",Lannister,M,Revenge,Events lead to trial by combat,0,"Kings Landing, 7 Kingdoms",2,
Varys testifies against Tyrion,4,6,Varys,,-,F,Tyrion,Ally,"Master of Coin, Hand of the King",Lannister,M,Revenge,Events lead to trial by combat,0,"Kings Landing, 7 Kingdoms",2,
Theon tricks the ironborn,4,8,Theon,,Bolton,M,Ironborn,Ally,,Greyjoy,M,Loyalty,,hundreds,Moat Caltin,,
Petyr Kills Lysa,4,7,Petyr ,Lord of Baelish Castle,Baelish,M,Lysa,Friend,Lady Regent of the Vale,Arryn,F ,Power,Power Change- Petyr is Lord of the Vale,1,"The Vale, 7 Kingdoms",2,
Sansa lies for Petyr about Lysa's death,4,8,Sansa,Princess,Stark,F,Lysa,Niece,Lady Regent of the Vale,Arryn,F,Loyalty,,,In the Vale,1,
Jaime Lannister frees Tyrion,4,9,Jaime,Lord Commander of the King's Guard,Lannister,M,Cersei,Sister/Lover,Queen (formerly),Lannister,F,Love,,,,2,
Jaime Lannister frees Tyrion,4,9,Varys,,,M,Cersei,Sister/Lover,Queen (formerly),Lannister,F,Love,,,,2,
Tywin's death sentence,4,8,Tywin,Hand of King,Lannister,M,Tyrion,Father,,Lannister,M,Revenge,,,,2,
Tyrion Kills Father,4,10,Tyrion,"Master of Coin, Hand of the King",Lannister,M,Tywin,Son,"Head of House Lannister, Hand of The King",Lannister,M,Revenge,Tyrion escapes with Varys,1,7 Kingdoms,3,
Cersei 'renews' her faith,5,4,Cersei,Queen (formerly),Lannister,F,Tyrells,Ally,Queen,Tyrell,F,Power,Margary and her Brother arrested by the Faith,,,2,
High sparrow imprisons Cersei,5,7,High Sparrow,High Septon,Faith Militant,M,Cersei,Ally,Queen (formerly),Lannister,F,Loyalty,Walk of atonement,,,2,
Tyrion joins Daenerys,5,8,Tyrion,,Lannister,M,Cersei,Brother,Queen (formerly),Lannister,F,Revenge,?,0,Across the Narrow Sea,2,
Stannis sacrifices daughter,5,9,Stannis Baratheon,Heir of Baratheon,Baratheon,M,Shireen Baratheon,Father,,Baratheon,F,Power,Loss of battle,1,Winterfell,1,
The Sons of Harpy's attack,5,9,Great Masters,,,,Daenarys,Ally,,,F,,,,,,
Brothers in Black betrayal,5,10,Brothers in Black,Night's Watch,Night's Watch,M,Jon Snow,Ally,,Stark,M,Loyalty,?,1,The Wall,2,
Theon Helps Sansa,5,10,Theon,Slave,Bolton,M,Ramsay Bolton,Boss,The Bastard of Bolton,Bolton,M,Loyalty,?,,Winterfell,1,
Ellaria kills Myrcella,5,10,Ellaria,Oberyn's lover,Martell,F,Myrcella,Ally,Princess,Lannister,F,Revenge,,1,,1,
Varys takes Tyrion to Daenarys,5,1,Varys,Master of Whisperers,Targaryen,M,Cersei,Ally,,Lannister,F,Loyalty,,,,1,
Abandoning Stannis,5,10,Melisandre,Priestess of the Lord of Light & Advisor to Stannis,Baratheon,F,Stannis Baratheon,Ally,,Baratheon,M,Power,Stannis is now defeated. Heads to Castle Black.,,,,
